Vasa Denticity Ltd.,"May 23, 2023",Rs 51.30 Cr,51.19x,Rs 128,"Jun 02, 2023",Rs 221.55 (73.09%),Rs 575.00 (349.22%),"Rs 799.00 (Dec 18, 2024)","Rs 533.00 (Feb 14, 2025)",2023
Labelkraft Technologies Ltd.,"Mar 13, 2023",Rs 4.51 Cr,52.71x,Rs 55,"Mar 23, 2023",Rs 55.79 (1.44%),Rs 49.00 (-10.91%),"Rs 74.50 (Jan 07, 2025)","Rs 47.50 (Nov 19, 2025)",2023
Systango Technologies Ltd.,"Mar 02, 2023",Rs 33.05 Cr,64.90x,Rs 90,"Mar 15, 2023",Rs 102.90 (14.33%),Rs 338.05 (275.61%),"Rs 411.00 (Nov 27, 2025)","Rs 192.25 (Apr 07, 2025)",2023
Macfos Ltd.,"Feb 17, 2023",Rs 22.56 Cr,191.99x,Rs 102,"Mar 01, 2023",Rs 174.80 (71.37%),Rs 798.75 (683.09%),"Rs 1,524.95 (Dec 23, 2024)","Rs 630.00 (Aug 12, 2025)",2023
Earthstahl & Alloys Ltd.,"Jan 27, 2023",Rs 12.29 Cr,233.85x,Rs 40,"Feb 08, 2023",Rs 57.75 (44.38%),Rs 20.00 (-50%),"Rs 45.00 (Dec 20, 2024)","Rs 16.84 (Nov 27, 2025)",2023
Chaman Metallics Ltd.,"Jan 04, 2023",Rs 22.98 Cr,204.20x,Rs 38,"Jan 16, 2023",Rs 64.60 (70%),Rs 112.50 (196.05%),"Rs 183.90 (Nov 10, 2025)","Rs 111.60 (Dec 18, 2025)",2023
Danish Power Ltd.,"Oct 22, 2024",Rs 188.00 Cr,89.11x,Rs 380,"Oct 29, 2024",Rs 598.50 (57.5%),Rs 642.00 (68.95%),"Rs 1,269.00 (Dec 19, 2024)","Rs 599.95 (Dec 09, 2025)",2024
Sahasra Electronic Solutions Ltd.,"Sep 26, 2024",Rs 176.83 Cr,85.72x,Rs 283,"Oct 04, 2024",Rs 564.55 (99.49%),Rs 280.30 (-0.95%),"Rs 618.00 (Jan 06, 2025)","Rs 227.50 (Aug 22, 2025)",2024
Forge Auto International Ltd.,"Sep 26, 2024",Rs 29.52 Cr,34.79x,Rs 108,"Oct 04, 2024",Rs 109.35 (1.25%),Rs 113.10 (4.72%),"Rs 175.50 (Jul 15, 2025)","Rs 60.00 (Mar 27, 2025)",2024
Unilex Colours & Chemicals Ltd.,"Sep 25, 2024",Rs 29.65 Cr,26.49x,Rs 87,"Oct 03, 2024",Rs 88.15 (1.32%),Rs 37.00 (-57.47%),"Rs 89.00 (Jan 06, 2025)","Rs 30.70 (Dec 05, 2025)",2024
WOL 3D India Ltd.,"Sep 23, 2024",Rs 24.24 Cr,261.69x,Rs 150,"Sep 30, 2024",Rs 189.05 (26.03%),Rs 169.00 (12.67%),"Rs 209.95 (Nov 20, 2025)","Rs 97.00 (Mar 13, 2025)",2024
Shubhshree Biofuels Energy Ltd.,"Sep 09, 2024",Rs 15.71 Cr,90.52x,Rs 119,"Sep 16, 2024",Rs 198.45 (66.76%),Rs 358.75 (201.47%),"Rs 494.95 (Aug 20, 2025)","Rs 268.70 (Feb 19, 2025)",2024
Vision Infra Equipment Solutions Ltd.,"Sep 06, 2024",Rs 100.73 Cr,47.93x,Rs 163,"Sep 13, 2024",Rs 215.25 (32.06%),Rs 238.20 (46.13%),"Rs 307.90 (Nov 27, 2025)","Rs 111.95 (Mar 03, 2025)",2024
My Mudra Fincorp Ltd.,"Sep 05, 2024",Rs 31.57 Cr,75.91x,Rs 110,"Sep 12, 2024",Rs 123.50 (12.27%),Rs 80.50 (-26.82%),"Rs 119.10 (Sep 15, 2025)","Rs 51.60 (Mar 28, 2025)",2024
Namo eWaste Management Ltd.,"Sep 04, 2024",Rs 48.63 Cr,165.14x,Rs 85,"Sep 11, 2024",Rs 169.55 (99.47%),Rs 183.45 (115.82%),"Rs 234.95 (Dec 26, 2024)","Rs 127.00 (Jul 11, 2025)",2024
Aeron Composite Ltd.,"Aug 28, 2024",Rs 53.25 Cr,27.61x,Rs 125,"Sep 04, 2024",Rs 157.50 (26%),Rs 96.05 (-23.16%),"Rs 202.20 (Dec 30, 2024)","Rs 89.05 (Dec 08, 2025)",2024
Sunlite Recycling Industries Ltd.,"Aug 12, 2024",Rs 28.68 Cr,207.95x,Rs 105,"Aug 20, 2024",Rs 209.45 (99.48%),Rs 285.30 (171.71%),"Rs 328.00 (Dec 05, 2025)","Rs 91.00 (Mar 28, 2025)",2024
Aprameya Engineering Ltd.,"Jul 25, 2024",Rs 27.76 Cr,135.10x,Rs 58,"Aug 01, 2024",Rs 75.60 (30.34%),Rs 316.55 (445.78%),"Rs 360.00 (Nov 21, 2025)","Rs 86.50 (Mar 04, 2025)",2024
Chetana Education Ltd.,"Jul 24, 2024",Rs 43.57 Cr,137.89x,Rs 85,"Jul 31, 2024",Rs 103.80 (22.12%),Rs 57.60 (-32.24%),"Rs 129.00 (May 19, 2025)","Rs 51.05 (Dec 16, 2025)",2024
Ganesh Green Bharat Ltd.,"Jul 05, 2024",Rs 118.94 Cr,161.77x,Rs 190,"Jul 12, 2024",Rs 398.00 (109.47%),Rs 332.25 (74.87%),"Rs 635.00 (Dec 20, 2024)","Rs 282.20 (Mar 28, 2025)",2024
Aimtron Electronics Ltd.,"May 30, 2024",Rs 82.48 Cr,69.43x,Rs 161,"Jun 06, 2024",Rs 253.05 (57.17%),Rs 796.00 (394.41%),"Rs 1,040.00 (Nov 21, 2025)","Rs 358.00 (Apr 07, 2025)",2024
Vilas Transcore Ltd.,"May 27, 2024",Rs 90.46 Cr,145.87x,Rs 147,"Jun 03, 2024",Rs 225.75 (53.57%),Rs 395.60 (169.12%),"Rs 673.70 (Jun 12, 2025)","Rs 291.00 (Mar 18, 2025)",2024
Premier Roadlines Ltd.,"May 10, 2024",Rs 38.32 Cr,82.18x,Rs 67,"May 17, 2024",Rs 91.35 (36.34%),Rs 77.00 (14.93%),"Rs 139.00 (Jan 08, 2025)","Rs 75.15 (Dec 18, 2025)",2024
Aztec Fluids & Machinery Ltd.,"May 10, 2024",Rs 22.90 Cr,152.58x,Rs 67,"May 17, 2024",Rs 85.50 (27.61%),Rs 113.86 (69.94%),"Rs 128.00 (Oct 27, 2025)","Rs 70.00 (Jan 28, 2025)",2024
Energy-Mission Machineries (India) Ltd.,"May 09, 2024",Rs 39.08 Cr,222.46x,Rs 138,"May 16, 2024",Rs 384.25 (178.44%),Rs 189.15 (37.07%),"Rs 337.35 (Jan 20, 2025)","Rs 162.10 (Mar 18, 2025)",2024
TGIF Agribusiness Ltd.,"May 08, 2024",Rs 6.07 Cr,37.77x,Rs 93,"May 15, 2024",Rs 142.50 (53.23%),Rs 80.27 (-13.69%),"Rs 132.00 (Dec 24, 2024)","Rs 66.50 (Sep 19, 2025)",2024
Amkay Products Ltd.,"Apr 30, 2024",Rs 11.95 Cr,521.94x,Rs 55,"May 08, 2024",Rs 109.72 (99.49%),Rs 75.07 (36.49%),"Rs 81.99 (Dec 18, 2025)","Rs 36.00 (Mar 27, 2025)",2024
Blue Pebble Ltd.,"Mar 26, 2024",Rs 17.20 Cr,39.53x,Rs 168,"Apr 03, 2024",Rs 208.95 (24.37%),Rs 114.60 (-31.79%),"Rs 370.85 (Dec 30, 2024)","Rs 88.00 (Nov 25, 2025)",2024
Aspire & Innovative Advertising Ltd.,"Mar 26, 2024",Rs 20.87 Cr,10.82x,Rs 54,"Apr 03, 2024",Rs 59.30 (9.81%),Rs 19.00 (-64.81%),"Rs 47.45 (Jan 03, 2025)","Rs 16.30 (Dec 09, 2025)",2024
Enfuse Solutions Ltd.,"Mar 15, 2024",Rs 21.29 Cr,119.59x,Rs 96,"Mar 22, 2024",Rs 115.45 (20.26%),Rs 232.00 (141.67%),"Rs 284.00 (Aug 26, 2025)","Rs 164.00 (Nov 13, 2025)",2024
Sona Machinery Ltd.,"Mar 05, 2024",Rs 49.22 Cr,190.97x,Rs 143,"Mar 13, 2024",Rs 131.25 (-8.22%),Rs 46.55 (-67.45%),"Rs 131.25 (Dec 18, 2024)","Rs 46.45 (Dec 18, 2025)",2024
